,,,,,,,,,,,,,,,,
"Source: USCIS CLAIM3; data as of November 15, 2017. ",,,,,,,,,,,,,,,,
"Note:     Unless noted otherwise, all data are based on petitions received during a fiscal year. ",,,,,,,,,,,,,,,,
"Note:     Petition counts include both cap-subject and cap-exempt, intitial and continuing employment.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions FY 2007 Through 2017: Receipt Volume Overview,,,,,,,,,,,,,,,,
Application and Approvals,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
Architectural Services," 2,574 "," 2,102 "," 1,486 "," 1,016 ", 912 , 377 , 313 , 935 ," 1,063 "," 1,088 "," 1,242 "," 13,108 ",,,,
Offices of Other Holding Companies, 851 , 711 , 564 , 782 , 829 , 924 ," 1,142 "," 1,367 "," 1,503 "," 1,572 "," 2,055 "," 12,300 ",,,,
Marketing Consulting Services," 1,025 ", 847 , 937 , 911 ," 1,008 "," 1,034 "," 1,062 "," 1,067 "," 1,222 "," 1,322 "," 1,378 "," 11,813 ",,,,
Pharmacies and Drug Stores," 1,861 "," 1,507 "," 1,483 "," 1,434 ", 999 , 455 , 341 , 706 , 737 , 707 , 609 ," 10,839 ",,,,
Offices of Lawyers," 1,447 "," 1,372 "," 1,402 "," 1,155 "," 1,019 ", 308 , 260 , 882 , 974 , 930 ," 1,083 "," 10,832 ",,,,
"All Other Professional, Scientific, and Technical Services", 600 , 562 , 741 , 870 , 937 , 648 , 565 ," 1,076 "," 1,249 "," 1,376 "," 1,629 "," 10,253 ",,,,
"Financial Transactions Processing, Reserve, and Clearinghouse Activities", 407 , 400 , 394 , 458 , 429 , 372 , 565 , 994 ," 1,442 "," 1,463 "," 1,864 "," 8,788 ",,,,
Other Scientific and Technical Consulting Services, 557 , 568 , 646 , 649 , 584 , 232 , 353 , 931 ," 1,250 "," 1,343 "," 1,574 "," 8,687 ",,,,
Portfolio Management, 564 , 750 , 871 , 816 , 882 , 294 , 264 , 841 ," 1,013 "," 1,085 "," 1,306 "," 8,686 ",,,,
Credit Card Issuing, 486 , 418 , 371 , 351 , 599 , 187 , 251 , 976 ," 1,525 "," 1,343 "," 1,721 "," 8,228 ",,,,
Direct Health and Medical Insurance Carriers, 339 , 386 , 443 , 438 , 500 , 562 , 700 , 878 ," 1,077 "," 1,324 "," 1,504 "," 8,151 ",,,,
Investment Advice, 951 , 947 , 998 , 815 , 776 , 184 , 194 , 595 , 824 , 906 , 943 ," 8,133 ",,,,
Specialty (except Psychiatric and Substance Abuse) Hospitals, 669 , 741 , 656 , 686 , 665 , 630 , 638 , 577 , 595 , 626 , 565 ," 7,048 ",,,,
,,,,,,,,,,,,,,,,
Note: The ranking is based on the total petitions received from 2007-2017 with known and valid industry.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions Filed FY 2007 Through 2017: Beneficiary Compensation,,,,,,,,,,,,,,,,
Annual Compensation ($),,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
"Below 25,000"," 5,704 "," 5,061 "," 7,066 "," 5,628 "," 6,236 "," 5,999 "," 4,376 "," 4,022 "," 3,870 "," 4,320 "," 6,198 ",,,,,
"25,000 to 49,999"," 75,047 "," 59,642 "," 51,630 "," 41,772 "," 36,361 "," 34,103 "," 26,813 "," 23,797 "," 20,524 "," 17,855 "," 14,685 ",,,,,
"50,000 to 74,999"," 135,727 "," 128,802 "," 102,781 "," 105,306 "," 111,649 "," 140,780 "," 128,858 "," 132,372 "," 142,865 "," 142,847 "," 121,129 ",,,,,
"75,000 to 99,999"," 60,765 "," 55,384 "," 50,044 "," 55,298 "," 65,225 "," 71,703 "," 74,269 "," 87,998 "," 105,383 "," 117,529 "," 124,579 ",,,,,
"100,000 to 124,999"," 23,511 "," 22,620 "," 20,477 "," 24,341 "," 29,118 "," 33,584 "," 38,974 "," 45,443 "," 55,288 "," 64,982 "," 73,314 ",,,,,
"125,000 to 149,999"," 6,613 "," 6,635 "," 6,507 "," 7,501 "," 9,608 "," 11,577 "," 14,770 "," 18,412 "," 23,911 "," 30,079 "," 36,315 ",,,,,
"150,000 to 174,999"," 3,321 "," 3,249 "," 3,275 "," 3,437 "," 4,160 "," 4,409 "," 5,153 "," 6,402 "," 8,437 "," 11,606 "," 15,171 ",,,,,
"175,000 to 199,999"," 1,324 "," 1,450 "," 1,560 "," 1,895 "," 2,222 "," 2,226 "," 2,330 "," 2,704 "," 3,205 "," 3,951 "," 5,446 ",,,,,
"Over 200,000"," 2,609 "," 2,632 "," 2,786 "," 3,094 "," 3,833 "," 3,861 "," 4,147 "," 4,821 "," 5,369 "," 6,180 "," 7,250 ",,,,,
,,,,,,,,,,,,,,,,
Average Compensation," $68,159 "," $69,740 "," $70,787 "," $74,025 "," $77,293 "," $77,593 "," $81,342 "," $83,859 "," $86,510 "," $89,590 "," $93,497 ",,,,,
Median Compensation," $60,000 "," $60,000 "," $62,379 "," $65,400 "," $69,035 "," $69,010 "," $72,000 "," $75,000 "," $77,542 "," $80,000 "," $84,864 ",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions Filed FY 2007 Through 2017: Beneficiary Education Attainment,,,,,,,,,,,,,,,,
Education,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
No Diploma, 168 , 184 , 234 , 235 , 487 , 164 , 101 , 83 , 69 , 50 , 41 ," 1,816 ",,,,
High School Graduate, 771 , 502 , 469 , 433 , 724 , 377 , 301 , 261 , 188 , 145 , 120 ," 4,291 ",,,,
Some College Credit (Less than 1 year), 148 , 106 , 97 , 74 , 87 , 70 , 46 , 54 , 33 , 28 , 18 , 761 ,,,,
One or More Years of College (No Degree), 878 , 594 , 606 , 606 , 549 , 597 , 402 , 385 , 285 , 252 , 204 ," 5,358 ",,,,
Associates Degree, 726 , 574 , 652 , 532 , 404 , 471 , 376 , 273 , 269 , 225 , 201 ," 4,703 ",,,,
Bachelor's Degree," 143,937 "," 122,941 "," 104,511 "," 109,478 "," 112,334 "," 146,174 "," 136,453 "," 146,368 "," 170,865 "," 180,077 "," 170,046 "," 1,543,184 ",,,,
Master's Degree," 121,987 "," 116,561 "," 97,703 "," 96,163 "," 113,284 "," 122,325 "," 125,052 "," 141,470 "," 159,828 "," 180,961 "," 197,046 "," 1,472,380 ",,,,
Professional Degree," 14,677 "," 13,353 "," 13,225 "," 13,387 "," 13,279 "," 12,625 "," 12,206 "," 12,001 "," 11,812 "," 11,880 "," 11,474 "," 139,919 ",,,,
Doctorate Degree," 31,212 "," 30,576 "," 28,538 "," 27,290 "," 27,130 "," 25,188 "," 24,671 "," 24,995 "," 25,188 "," 25,602 "," 24,723 "," 295,113 ",,,,
Other, 117 , 84 , 91 , 74 , 134 , 251 , 82 , 81 , 315 , 129 , 214 ," 1,572 ",,,,
"Note: Other includes unknown, invalid, and missing values.",,,,,,,,,,,," 3,469,097 ",,,,
